time,EUR_USD
2017:01:20 16:00:00,1.06786
2017:01:20 16:30:00,1.06776
2017:01:20 17:00:00,1.0679
2017:01:20 17:30:00,1.06885
2017:01:20 18:00:00,1.06747
2017:01:20 18:30:00,1.06683
2017:01:20 19:00:00,1.06812
2017:01:20 19:30:00,1.06942
2017:01:20 20:00:00,1.07048
2017:01:20 20:30:00,1.06952
2017:01:20 21:00:00,1.06965
2017:01:20 21:30:00,1.0695
2017:01:22 22:30:00,1.07014
2017:01:22 23:00:00,1.07034
2017:01:22 23:30:00,1.07113
2017:01:23 0:00:00,1.07132
2017:01:23 0:30:00,1.07133
2017:01:23 1:00:00,1.07238
2017:01:23 1:30:00,1.07287
2017:01:23 2:00:00,1.0744
2017:01:23 2:30:00,1.07426
2017:01:23 3:00:00,1.07454
2017:01:23 3:30:00,1.07486
2017:01:23 4:00:00,1.07438
2017:01:23 4:30:00,1.07426
2017:01:23 5:00:00,1.0737
2017:01:23 5:30:00,1.0738
2017:01:23 6:00:00,1.07485
2017:01:23 6:30:00,1.07492
2017:01:23 7:00:00,1.07418
2017:01:23 7:30:00,1.0746
2017:01:23 8:00:00,1.07426
2017:01:23 8:30:00,1.0735
2017:01:23 9:00:00,1.07282
2017:01:23 9:30:00,1.07276
2017:01:23 10:00:00,1.07258
2017:01:23 10:30:00,1.07397
2017:01:23 11:00:00,1.0738
2017:01:23 11:30:00,1.07298
2017:01:23 12:00:00,1.07295
2017:01:23 12:30:00,1.07314
2017:01:23 13:00:00,1.07342
2017:01:23 13:30:00,1.07287
2017:01:23 14:00:00,1.073
2017:01:23 14:30:00,1.07256
2017:01:23 15:00:00,1.07258
2017:01:23 15:30:00,1.07391
2017:01:23 16:00:00,1.07476
2017:01:23 16:30:00,1.07322
2017:01:23 17:00:00,1.07396
2017:01:23 17:30:00,1.07262
2017:01:23 18:00:00,1.07273
2017:01:23 18:30:00,1.07344
2017:01:23 19:00:00,1.07362
2017:01:23 19:30:00,1.07394
2017:01:23 20:00:00,1.07459
2017:01:23 20:30:00,1.07477
2017:01:23 21:00:00,1.07437
2017:01:23 21:30:00,1.07495
2017:01:23 22:00:00,1.07672
2017:01:23 22:30:00,1.07664
2017:01:23 23:00:00,1.0772
2017:01:23 23:30:00,1.07692
2017:01:24 0:00:00,1.07588
2017:01:24 0:30:00,1.07587
2017:01:24 1:00:00,1.076
2017:01:24 1:30:00,1.07482
2017:01:24 2:00:00,1.07546
2017:01:24 2:30:00,1.07642
2017:01:24 3:00:00,1.07584
2017:01:24 3:30:00,1.07666
2017:01:24 4:00:00,1.07601
2017:01:24 4:30:00,1.07536
2017:01:24 5:00:00,1.07516
2017:01:24 5:30:00,1.07542
2017:01:24 6:00:00,1.0755
2017:01:24 6:30:00,1.07492
2017:01:24 7:00:00,1.0741
2017:01:24 7:30:00,1.07477
2017:01:24 8:00:00,1.07378
2017:01:24 8:30:00,1.07472
2017:01:24 9:00:00,1.07475
2017:01:24 9:30:00,1.07378
2017:01:24 10:00:00,1.07406
2017:01:24 10:30:00,1.07364
2017:01:24 11:00:00,1.07296
2017:01:24 11:30:00,1.07335
2017:01:24 12:00:00,1.0743
2017:01:24 12:30:00,1.07434
2017:01:24 13:00:00,1.07422
2017:01:24 13:30:00,1.07492
2017:01:24 14:00:00,1.07474
2017:01:24 14:30:00,1.07454
2017:01:24 15:00:00,1.0761
2017:01:24 15:30:00,1.0755
2017:01:24 16:00:00,1.07527
2017:01:24 16:30:00,1.0753
2017:01:24 17:00:00,1.07487
2017:01:24 17:30:00,1.07604
2017:01:24 18:00:00,1.07568
2017:01:24 18:30:00,1.07432
2017:01:24 19:00:00,1.07348
2017:01:24 19:30:00,1.0729
2017:01:24 20:00:00,1.07226
2017:01:24 20:30:00,1.0727
2017:01:24 21:00:00,1.07334
2017:01:24 21:30:00,1.07318
2017:01:24 22:00:00,1.07306
2017:01:24 22:30:00,1.07318
2017:01:24 23:00:00,1.07316
2017:01:24 23:30:00,1.07272
2017:01:25 0:00:00,1.07286
2017:01:25 0:30:00,1.07296
2017:01:25 1:00:00,1.0731
2017:01:25 1:30:00,1.07301
2017:01:25 2:00:00,1.0729
